Time,Open,High,Low,Last,Change,Volume
12/31/2019 16:30,3230.78,3230.78,3230.78,3230.78,0,0
12/31/2019 16:00,3229.7,3230.78,3229.7,3230.78,0.22,0
12/31/2019 15:30,3224.16,3231.72,3223.98,3230.56,6.43,0
12/31/2019 15:00,3219.74,3224.14,3219.16,3224.13,4.38,0
12/31/2019 14:30,3220.34,3221.03,3219.23,3219.75,-0.48,0
12/31/2019 14:00,3219.38,3220.32,3217.73,3220.23,0.85,0
12/31/2019 13:30,3217.33,3219.51,3217.33,3219.38,2.05,0
12/31/2019 13:00,3216.99,3218.36,3216.9,3217.33,0.32,0
12/31/2019 12:30,3216.7,3217.86,3216.38,3217.01,0.31,0
12/31/2019 12:00,3216.35,3217.35,3214.52,3216.7,0.35,0
12/31/2019 11:30,3215.34,3218.92,3213.38,3216.35,0.98,0
12/31/2019 11:00,3214.64,3217.22,3214.45,3215.37,0.72,0
12/31/2019 10:30,3217.86,3218.65,3214.36,3214.65,-3.2,0
12/31/2019 10:00,3222.76,3223.38,3217.85,3217.85,-4.88,0
12/31/2019 9:30,3215.18,3225.1,3212.03,3222.73,1.44,0
12/30/2019 17:00,3221.29,3221.29,3221.29,3221.29,0,0
12/30/2019 16:00,3221.81,3221.81,3221.29,3221.29,-0.77,0
12/30/2019 15:30,3224.13,3224.55,3217.9,3222.06,-2.06,0
12/30/2019 15:00,3222.04,3224.65,3221.19,3224.12,2.08,0
12/30/2019 14:30,3223.08,3223.24,3221.67,3222.04,-1.04,0
12/30/2019 14:00,3227.87,3227.88,3221.85,3223.08,-4.79,0
12/30/2019 13:30,3226.53,3228.28,3225.79,3227.87,1.32,0
12/30/2019 13:00,3229.16,3229.58,3226.49,3226.55,-2.62,0
12/30/2019 12:30,3229.22,3230.88,3229.17,3229.17,-0.05,0
12/30/2019 12:00,3225.26,3229.36,3225.05,3229.22,3.96,0
12/30/2019 11:30,3224.38,3226.37,3222.58,3225.26,0.87,0
12/30/2019 11:00,3222.51,3225.08,3219.1,3224.39,1.87,0
12/30/2019 10:30,3218.99,3222.73,3217.41,3222.52,3.55,0
12/30/2019 10:00,3225.02,3226.48,3216.57,3218.97,-6.07,0
12/30/2019 9:30,3240.09,3240.92,3223.22,3225.04,-14.98,0
12/27/2019 17:00,3240.02,3240.02,3240.02,3240.02,0,0
12/27/2019 16:00,3239.95,3240.02,3239.95,3240.02,0.31,0
12/27/2019 15:30,3241.17,3241.68,3234.37,3239.71,-1.47,0
12/27/2019 15:00,3243.29,3243.4,3240.92,3241.18,-2.11,0
12/27/2019 14:30,3241.92,3243.74,3241.92,3243.29,1.39,0
12/27/2019 14:00,3240.27,3242.24,3240.25,3241.9,1.63,0
12/27/2019 13:30,3240.53,3241.58,3239.87,3240.27,-0.28,0
12/27/2019 13:00,3243.49,3243.98,3240.55,3240.55,-2.95,0
12/27/2019 12:30,3241.76,3243.68,3241.37,3243.5,1.76,0
12/27/2019 12:00,3244.05,3244.65,3241.68,3241.74,-2.32,0
12/27/2019 11:30,3244.45,3245.68,3244.04,3244.06,-0.35,0
12/27/2019 11:00,3243.1,3245.16,3243.1,3244.41,1.31,0
12/27/2019 10:30,3241.41,3243.6,3239.87,3243.1,1.69,0
12/27/2019 10:00,3236.88,3241.89,3236.46,3241.41,4.58,0
12/27/2019 9:30,3247.23,3247.93,3236.73,3236.83,-3.08,0
12/26/2019 16:30,3239.91,3239.91,3239.91,3239.91,0,0
12/26/2019 16:00,3240.07,3240.08,3239.91,3239.91,0.15,0
12/26/2019 15:30,3232.94,3239.76,3231.55,3239.76,6.81,0
12/26/2019 15:00,3232.95,3233.79,3232.61,3232.95,-0.01,0
12/26/2019 14:30,3234.05,3234.07,3232.96,3232.96,-1.08,0
12/26/2019 14:00,3234.63,3235.43,3233.94,3234.04,-0.6,0
12/26/2019 13:30,3234.28,3234.93,3233.97,3234.64,0.36,0
12/26/2019 13:00,3233.02,3234.62,3232.71,3234.28,1.24,0
12/26/2019 12:30,3231.71,3233.13,3231.59,3233.04,1.29,0
12/26/2019 12:00,3233.86,3233.92,3231.05,3231.75,-2.11,0
12/26/2019 11:30,3233.93,3234.25,3233.09,3233.86,-0.08,0
12/26/2019 11:00,3233.7,3235.46,3233.7,3233.94,0.25,0
12/26/2019 10:30,3232.45,3234.22,3232.45,3233.69,1.26,0
12/26/2019 10:00,3230.74,3232.7,3230.74,3232.43,1.73,0
