,id,content,date,Date,Time,negative_prob,positive_prob,outcome,Elise's outcome
43,9.62E+17,i will be meeting with henry kissinger at 145pm will be discussing north korea china and the middle east,2/8/2018 12:44,2/8/2018,12:44,0.8707619,0.12923814,-1,0
44,9.65E+17,i never said russia did not meddle in the election i said it may be russia or china or another country or group or it may be a 400 pound genius sitting in bed and playing with his computer the russian hoax was that the trump campaign colluded with russia  it never did,2/18/2018 6:33,2/18/2018,6:33,0.000703752,0.9992962,1,
45,9.71E+17,china has been asked to develop a plan for the year of a one billion dollar reduction in their massive trade deficit with the united states our relationship with china has been a very good one and we look forward to seeing what ideas they come back with we must act soon,3/7/2018 9:10,3/7/2018,9:10,7.76E-05,0.9999224,1,
46,9.73E+17,chinese president xi jinping and i spoke at length about the meeting with kim jong un of north korea president xi told me he appreciates that the us is working to solve the problem diplomatically rather than going with the ominous alternative china continues to be helpful,3/10/2018 10:15,3/10/2018,10:15,0.65281373,0.34718624,-1,
47,9.79E+17,received message last night from xi jinping of china that his meeting with kim jong un went very well and that kim looks forward to his meeting with me in the meantime and unfortunately maximum sanctions and pressure must be maintained at all cost,3/28/2018 5:16,3/28/2018,5:16,0.000747286,0.99925274,1,
48,9.81E+17,we are not in a trade war with china that war was lost many years ago by the foolish or incompetent people who represented the us now we have a trade deficit of 500 billion a year with intellectual property theft of another 300 billion we cannot let this continue,4/4/2018 6:22,4/4/2018,6:22,0.046849333,0.95315063,1,-1
49,9.82E+17,the fake news washington post amazons chief lobbyist has another of many phony headlines trump defiant as china adds trade penalties wrong should read trump defiant as us adds trade penalties will end barriers and massive ip theft typically bad reporting,4/5/2018 8:10,4/5/2018,8:10,0.003018891,0.9969811,1,
50,9.82E+17,china which is a great economic power is considered a developing nation within the world trade organization they therefore get tremendous perks and advantages especially over the us does anybody think this is fair we were badly represented the wto is unfair to us,4/6/2018 9:32,4/6/2018,9:32,0.002476617,0.99752337,1,
51,9.83E+17,the united states hasnt had a trade surplus with china in 40 years they must end unfair trade take down barriers and charge only reciprocal tariffs the us is losing 500 billion a year and has been losing billions of dollars for decades cannot continue,4/7/2018 13:03,4/7/2018,13:03,0.599481,0.400519,-1,
52,9.83E+17,president xi and i will always be friends no matter what happens with our dispute on trade china will take down its trade barriers because it is the right thing to do taxes will become reciprocal  a deal will be made on intellectual property great future for both countries,4/8/2018 7:12,4/8/2018,7:12,0.001873452,0.99812657,1,
