,Date,Rounded_Time,Return,Positive,Negative
17,12/31/2019,10:30,0.0008951919370927541,1,0
22,12/31/2019,8:00,-0.0008239114942840686,1,0
82,12/27/2019,8:30,-0.0010569483413922498,1,0
95,12/26/2019,18:00,9.223815899161991e-05,1,0
136,12/24/2019,7:00,-0.0014388825616054035,1,0
183,12/20/2019,15:00,2.343814088767715e-05,1,0
195,12/20/2019,9:00,-0.0023624780275603996,1,0
262,12/18/2019,7:00,-0.0015357300134013485,1,0
291,12/17/2019,8:30,0.0007193382398664738,1,0
353,12/13/2019,9:00,-0.005180982415989632,1,0
355,12/13/2019,8:00,-0.0011606539652886383,0,1
356,12/13/2019,7:30,-0.005280892096328316,1,0
432,12/10/2019,16:30,0.0011475043043285282,1,0
448,12/10/2019,8:30,0.008042265009939875,1,0
516,12/06/2019,6:30,0.0006453694964241308,1,0
646,12/02/2019,5:00,-0.0003508156499751891,1,0
647,12/02/2019,4:30,-0.0003504994653207305,1,0
826,11/21/2019,6:30,0.0020316839759049188,1,0
914,11/18/2019,10:00,-0.0002974078846884609,1,0
962,11/14/2019,18:00,0.0004935428248575846,1,0
981,11/14/2019,8:30,0.0009351707368017159,0,1
1052,11/12/2019,5:00,0.00021529684135046523,0,1
1254,11/01/2019,16:00,-0.0002830535839324355,0,1
1268,11/01/2019,9:00,0.004592044805600715,1,0
1272,11/01/2019,7:00,-0.002891461089247649,1,0
1299,10/31/2019,9:30,-0.01229903465600568,1,0
1302,10/31/2019,8:00,0.0031552877203395724,1,0
1323,10/30/2019,13:30,-0.0015958966054565593,0,1
1366,10/29/2019,7:00,-0.0033783815916272886,1,0
1685,10/14/2019,19:00,-0.00035048776572299545,1,0
1695,10/14/2019,14:00,0.0003200512109255982,1,0
1701,10/14/2019,11:00,-0.0007574213080951964,1,0
1737,10/11/2019,9:00,0.0035200975039844096,0,1
1738,10/11/2019,8:30,0.001235257943604573,1,0
1794,10/09/2019,12:30,0.0012699950302410556,0,1
1861,10/07/2019,10:00,0.004099218572441998,1,0
1863,10/07/2019,9:00,-0.001717043555161446,0,1
2010,09/30/2019,14:00,-0.003813614442029767,0,1
2020,09/30/2019,9:00,0.0006481072549737732,0,1
2023,09/30/2019,7:30,-0.00011760555111717252,1,0
2025,09/30/2019,6:30,-0.0017024278378663382,1,0
2100,09/25/2019,15:00,0.0023544440349452245,1,0
2114,09/25/2019,8:00,0.00523924517413743,1,0
2338,09/16/2019,6:30,-0.0007328279028033791,0,1
2364,09/13/2019,9:30,0.0009564802259571792,0,1
2435,09/11/2019,5:00,0.0008543844680009016,1,0
2491,09/09/2019,8:00,0.0010704527910254669,0,1
2519,09/06/2019,10:00,-0.0033633427689059303,0,1
2585,09/04/2019,8:30,-0.0004540552890306415,1,0
2618,09/03/2019,8:00,0.0017336034390895705,1,0
2648,08/30/2019,9:00,0.0013189209699309146,0,1
2649,08/30/2019,8:30,-0.0011471179921498376,0,1
2716,08/28/2019,7:00,-0.0021144850047161157,0,1
2782,08/26/2019,4:30,0.001677852742616004,1,0
2789,08/23/2019,17:00,-0.005479465764625324,1,0
2791,08/23/2019,16:00,0.0058918383455965895,1,0
2872,08/21/2019,7:30,-0.003944778291016249,0,1
2914,08/19/2019,18:30,-0.0004488330416458908,1,0
2985,08/15/2019,15:00,0.005803713348434769,1,0
2992,08/15/2019,11:30,-0.005005287096786937,1,0
2993,08/15/2019,11:00,-0.007731302182102162,1,0
3012,08/14/2019,17:30,-0.0001850538203473917,1,0
3019,08/14/2019,14:00,-0.0009556546190268023,1,0
3026,08/14/2019,10:30,-0.005344947466784156,1,0
3055,08/13/2019,12:00,0.0007240693009284982,1,0
3061,08/13/2019,9:00,0.006925192227207333,1,0
3064,08/13/2019,7:30,0.0007557151313752897,1,0
3177,08/07/2019,14:00,0.000252860485574935,1,0
3212,08/06/2019,12:30,-0.0007278734265865339,1,0
3223,08/06/2019,7:00,0.0014654818003947412,0,1
3255,08/05/2019,7:00,-0.0064433212609325,0,1
3315,08/01/2019,9:00,0.005566569135785571,1,0
3379,07/30/2019,7:30,-0.006301940077277024,0,1
3406,07/29/2019,8:00,-0.0003927940002892427,1,0
3426,07/26/2019,13:00,2.8041445257365183e-05,1,0
3429,07/26/2019,11:30,0.0014613311953066699,1,0
3432,07/26/2019,10:00,0.0007332826004748938,0,1
3434,07/26/2019,9:00,-0.0033736326627478164,0,1
3532,07/23/2019,7:00,0.0004572473787947118,1,0
3533,07/23/2019,6:30,0.0011441648845451624,1,0
3534,07/23/2019,6:00,0.0005729017630198285,1,0
3639,07/17/2019,17:00,-0.001781149024425055,1,0
3690,07/16/2019,6:30,-0.0003457615432358452,0,1
3722,07/15/2019,5:30,0.000942396111682342,1,0
3759,07/11/2019,19:00,-0.0010210517719411172,0,1
3784,07/11/2019,6:30,0.0005957700503893548,0,1
3846,07/09/2019,7:30,-0.0008994154406343213,0,1
3849,07/09/2019,6:00,0.001501997939258537,1,0
3926,07/03/2019,9:00,-0.0022159729514612536,1,0
3985,07/01/2019,11:00,0.001883723478501409,0,1
3988,07/01/2019,9:30,0.0015057034904817357,1,0
4091,06/26/2019,6:00,0.003851057874375563,1,0
4150,06/24/2019,7:00,-0.0005356983551223493,1,0
4281,06/18/2019,5:30,-0.0018484293617824221,0,1
4424,06/11/2019,12:30,-0.000861909799095173,1,0
4489,06/07/2019,12:00,0.00297619267304583,1,0
4490,06/07/2019,11:30,-0.003274972630583406,1,0
4541,06/05/2019,17:30,-0.0021108187256917432,0,1
4570,06/04/2019,19:00,0.0003866726863934744,0,1
4615,06/03/2019,12:30,0.0029969054430685205,0,1
4630,06/03/2019,5:00,0.0032744190437874465,1,0
4653,05/31/2019,9:30,0.005265801202928522,1,0
4667,05/30/2019,18:30,0.00046383726770038436,1,0
4772,05/24/2019,14:00,-0.004949709588008666,1,0
4874,05/21/2019,11:00,-0.002506037190637578,0,1
4910,05/20/2019,9:00,-0.004921180076643772,0,1
4977,05/16/2019,7:30,0.0005600672227057402,0,1
5041,05/14/2019,7:30,-0.0017326022237815764,1,0
5044,05/14/2019,6:00,0.002304148484849833,1,0
5046,05/14/2019,5:00,0.002837374149434524,1,0
5067,05/13/2019,10:30,0.008151342597661149,1,0
5076,05/13/2019,6:00,-0.002875713720435158,1,0
5077,05/13/2019,5:30,0.0037902761737811375,0,1
5092,05/10/2019,14:00,-0.0015822788111297115,1,0
5103,05/10/2019,8:30,0.0027972046210615886,0,1
5105,05/10/2019,7:30,-0.007507334021973122,1,0
5106,05/10/2019,7:00,0.0014953066779757052,0,1
5108,05/10/2019,6:00,-0.0016680571006970624,0,1
5153,05/08/2019,15:30,-0.005167682991873868,0,1
5173,05/08/2019,5:30,-0.004185719610152461,1,0
5231,05/06/2019,8:30,-0.006437790474848271,1,0
5256,05/03/2019,12:00,-0.0017493315841976553,1,0
5278,05/02/2019,16:30,0.0005253480551612455,0,1
5349,04/30/2019,12:30,0.002531169727946647,0,1
5387,04/29/2019,9:30,-0.004599184533550016,1,0
5390,04/29/2019,8:00,-0.0006934628075088156,0,1
5411,04/26/2019,13:30,9.513573150332633e-05,0,1
5517,04/23/2019,6:00,5.393888725357954e-05,0,1
5534,04/22/2019,13:00,0.0012917812227462022,1,0
5792,04/09/2019,6:30,0.00010678626738691577,1,0
5851,04/05/2019,8:00,-0.00038602586852576337,0,1
5884,04/04/2019,7:00,-0.001973777603989646,1,0
6061,03/27/2019,14:30,-0.0018583702377714673,1,0
6291,03/18/2019,6:30,0.00027341080143017393,1,0
6740,02/25/2019,18:00,-0.000877000713960463,0,1
6748,02/25/2019,14:00,0.00021801929557074828,1,0
6765,02/25/2019,5:30,-0.0004429924209992109,0,1
7260,01/31/2019,8:30,-0.0008575104141295142,1,0
7262,01/31/2019,7:30,0.0002965159399046513,1,0
7264,01/31/2019,6:30,0.002369669355318571,1,0
7358,01/28/2019,7:00,0.00018917299927068143,1,0
7510,01/18/2019,9:30,-0.011999763049109546,1,0
7622,01/14/2019,16:00,-0.0011395248744552333,1,0
7674,01/11/2019,6:00,-0.0009245196458556038,0,1
7734,01/09/2019,8:00,0.0008691292541094242,1,0
7768,01/08/2019,7:00,-0.0034470906246211186,1,0
7839,01/03/2019,19:00,-0.003375012791742016,0,1
7859,01/03/2019,8:30,-0.004155233403166925,1,0
7893,01/02/2019,7:30,-0.006545694302634075,1,0
7903,12/31/2018,18:30,0.0002180652081955614,1,0
7959,12/28/2018,6:30,-0.0013601061547650062,1,0
8036,12/24/2018,9:30,0.012597243574909989,1,0
8038,12/24/2018,8:30,-0.003002196165877713,1,0
8070,12/21/2018,8:30,0.007347892359553576,1,0
8184,12/17/2018,15:00,-0.009353690980551832,0,1
8200,12/17/2018,7:00,-0.0036990996210297666,1,0
8225,12/14/2018,10:30,-0.005266723855461564,0,1
8376,12/07/2018,14:30,-0.011363758650315248,1,0
8400,12/06/2018,18:30,0.0006404098841992223,1,0
8433,12/04/2018,18:00,0.0006327111884596448,1,0
8451,12/04/2018,9:00,-0.0013373049224183475,1,0
8452,12/04/2018,8:30,-0.0012128564252087415,1,0
8483,12/03/2018,9:00,0.0025650783587458648,0,1
8487,12/03/2018,7:00,0.00315598558913166,1,0
8488,12/03/2018,6:30,-0.00107321736988375,1,0
8551,11/29/2018,6:30,0.0003188267203801942,1,0
8579,11/28/2018,8:30,0.0008172760018609893,1,0
8602,11/27/2018,13:00,-0.0014697897012831973,1,0
8700,11/21/2018,6:30,-0.001950957596851488,1,0
8759,11/19/2018,9:00,-0.008450477721840599,0,1
8939,11/09/2018,15:00,0.0012406094361203657,1,0
9019,11/07/2018,7:00,0.003123652558117307,1,0
9023,11/07/2018,5:00,0.0003325020812017243,1,0
9143,11/01/2018,9:00,0.00310420005761447,1,0
9210,10/30/2018,7:30,0.0011889724221507691,1,0
9211,10/30/2018,7:00,-0.002971770389157413,1,0
9243,10/29/2018,7:00,0.0012439531666288417,1,0
9304,10/25/2018,8:30,-0.002267253344752085,0,1
9362,10/23/2018,11:30,-0.0006905600716384797,1,0
9368,10/23/2018,8:30,0.0045948284682841845,1,0
9468,10/18/2018,6:30,-0.002858895147130447,0,1
9499,10/17/2018,7:00,-0.002861232281031967,1,0
9500,10/17/2018,6:30,0.0005985037585141129,1,0
9766,10/04/2018,17:00,-0.00025672293318645956,1,0
9814,10/03/2018,9:00,-0.0018989867570757824,1,0
9816,10/03/2018,8:00,0.0018410560585273572,1,0
9844,10/02/2018,10:00,0.003006162067330287,1,0
9885,10/01/2018,5:30,0.00018019641457911462,1,0
9967,09/26/2018,12:00,0.002333573740770589,0,1
10138,09/19/2018,6:30,-0.00031620553623135095,0,1
10168,09/18/2018,7:30,0.0001882352946731558,1,0
10205,09/17/2018,5:00,-0.0020901218649864717,1,0
10261,09/13/2018,9:00,0.00024186721607755146,0,1
10363,09/10/2018,6:00,0.0007502813907036554,1,0
10472,09/04/2018,15:30,5.867854167007636e-07,1,0
10567,08/29/2018,16:00,-0.0015137501839337375,1,0
10611,08/28/2018,9:00,0.0024276255805277813,1,0
10637,08/27/2018,12:00,0.0022360037051072368,1,0
10668,08/24/2018,12:30,-0.002017001116026762,0,1
10684,08/24/2018,4:30,-0.004470177654085639,1,0
10741,08/22/2018,8:00,-0.004717751625730848,0,1
10771,08/21/2018,9:00,-0.002362338687904142,0,1
10797,08/20/2018,12:00,0.00788514364291526,0,1
10840,08/17/2018,6:30,-0.0006952894422287414,1,0
10897,08/15/2018,10:00,-0.008487797519685536,0,1
10900,08/15/2018,8:30,0.0017947955760231338,1,0
10938,08/14/2018,5:30,-0.0010686465765719078,1,0
10977,08/10/2018,18:00,-5.5541670152869926e-05,1,0
10978,08/10/2018,17:30,-0.00027773920467399904,1,0
10998,08/10/2018,7:30,-0.0019282033989815872,1,0
11021,08/09/2018,12:00,-0.0039038586191857405,0,1
11057,08/08/2018,10:00,-0.0001684305087774618,1,0
11098,08/07/2018,5:30,0.0013814064912613944,0,1
11122,08/06/2018,9:30,-0.005882236041478528,1,0
11139,08/03/2018,17:00,-0.0004423800116377663,1,0
11254,07/31/2018,7:00,0.0006467608288405202,1,0
11315,07/27/2018,6:30,0.00015229586038500997,1,0
11355,07/25/2018,18:30,-0.0009287816996845777,1,0
11385,07/24/2018,19:00,0.0021119332031442895,1,0
11411,07/24/2018,6:00,0.0007924977300266534,1,0
11439,07/23/2018,8:00,0.0020325210249225734,0,1
11469,07/20/2018,8:00,5.347450604187287e-05,1,0
11470,07/20/2018,7:30,-0.0004816569090468903,0,1
11500,07/19/2018,8:30,0.0023888531599105534,1,0
11535,07/18/2018,6:30,5.190356319140221e-05,1,0
11679,07/11/2018,12:00,-0.0007172910175494707,1,0
11688,07/11/2018,7:30,0.0005284574450525881,1,0
11708,07/10/2018,13:30,-0.002132030656022188,1,0
11752,07/09/2018,7:00,-0.00010301844039162233,1,0
11838,07/03/2018,5:30,-0.00037237014021762604,0,1
11995,06/26/2018,7:00,-0.0015064546627039377,0,1
12009,06/25/2018,16:00,-0.001412762184588523,0,1
12034,06/22/2018,19:30,0.0002476118986445286,0,1
12073,06/21/2018,15:30,-0.000978836449339937,1,0
12074,06/21/2018,15:00,0.0013350146609356628,1,0
12219,06/15/2018,6:30,0.002389487397381096,1,0
12265,06/13/2018,15:30,-0.002610084134391677,1,0
12298,06/12/2018,15:00,0.004410361894848336,0,1
12299,06/12/2018,14:30,-0.0018242923926452548,1,0
12321,06/11/2018,19:30,0.0002913045609762577,0,1
12379,06/08/2018,6:00,0.0019471286014010047,0,1
12394,06/07/2018,14:30,0.003060068524789017,1,0
12402,06/07/2018,10:30,-0.0061145424746618104,0,1
12410,06/07/2018,6:30,0.00119545740477367,0,1
12436,06/06/2018,9:00,0.002528446353358582,1,0
12470,06/05/2018,8:00,-0.0026231086937658077,1,0
12501,06/04/2018,8:30,-0.00048794770168836266,0,1
12503,06/04/2018,7:30,-0.0004879238935542318,0,1
12505,06/04/2018,6:30,-0.0014612764412236245,1,0
12534,06/01/2018,8:00,-0.00010054798661141007,1,0
12549,05/31/2018,16:00,0.0007067851667406089,1,0
12575,05/30/2018,18:30,0.0012630410651723878,1,0
12632,05/29/2018,6:00,0.0013610588112458188,0,1
12640,05/25/2018,18:00,0.0005018820682511915,0,1
12641,05/25/2018,17:30,-0.00020086371464511643,1,0
12726,05/23/2018,6:30,0.0016511019694389617,0,1
12767,05/21/2018,18:00,-5.051653154630742e-05,0,1
12787,05/21/2018,8:00,5.055739529424841e-05,1,0
12790,05/21/2018,6:30,-0.0017183871609436352,1,0
12791,05/21/2018,6:00,0.0020708646944109788,1,0
