,Date,Rounded_Time,Return,Positive,Negative
1,12/31/2019,16:00,0.00033434048555491813,1,0
2,12/31/2019,15:30,0.0019830456153986376,1,0
3,12/31/2019,15:00,0.0013625354574724469,1,0
5,12/31/2019,14:00,0.00026399114385355915,0,1
10,12/31/2019,11:30,0.0003140698660235586,0,1
12,12/31/2019,10:30,-0.0009980552743673599,1,0
14,12/31/2019,9:30,0.002345482761089812,0,1
16,12/30/2019,16:00,-0.00016141298478267174,0,1
32,12/27/2019,15:30,-0.00045055610494237897,1,0
34,12/27/2019,14:30,0.00042249981739495013,0,1
42,12/27/2019,10:30,0.0005212421719651417,0,1
49,12/26/2019,14:30,-0.0003370955079144977,0,1
85,12/20/2019,16:00,9.313675275990363e-05,0,1
88,12/20/2019,14:30,0.0009462132788033983,1,0
112,12/19/2019,10:00,0.000547425004715052,0,1
124,12/18/2019,11:30,-0.001101438865726223,1,0
126,12/18/2019,10:30,0.0010988513258016752,0,1
127,12/18/2019,10:00,-0.00034450144718078946,1,0
131,12/17/2019,15:30,-0.0009018601475556665,1,0
132,12/17/2019,15:00,6.886384056237205e-05,1,0
136,12/17/2019,13:00,-0.0008638525227411264,0,1
147,12/16/2019,15:00,-2.8186084531256483e-05,1,0
149,12/16/2019,14:00,-0.0009858770017245888,1,0
154,12/16/2019,11:30,0.0002784683009995348,1,0
184,12/12/2019,11:30,-0.0008229385064719708,1,0
187,12/12/2019,10:00,0.002823884668057275,0,1
188,12/12/2019,9:30,0.007538612632904673,1,0
197,12/11/2019,12:30,0.00020417082788881658,1,0
206,12/10/2019,15:30,-0.0003606565264462347,1,0
233,12/09/2019,9:30,0.0015901490457750356,0,1
239,12/06/2019,14:00,9.210954690175299e-05,1,0
241,12/06/2019,13:00,-2.2224797477932157e-05,0,1
243,12/06/2019,12:00,0.00020641899636153482,1,0
247,12/06/2019,10:00,1.9082330718234175e-05,1,0
248,12/06/2019,9:30,0.003064252914498411,0,1
259,12/05/2019,11:30,-0.000552811155150934,0,1
261,12/05/2019,10:30,0.0005047298436231529,0,1
263,12/05/2019,9:30,-0.002285238424910574,0,1
293,12/03/2019,9:30,-0.0014890344628977203,0,1
295,12/02/2019,16:00,-0.00019908932754297837,0,1
297,12/02/2019,15:00,-0.001961727718265749,0,1
299,12/02/2019,14:00,0.001153447011652986,1,0
301,12/02/2019,13:00,0.0018386693602643334,1,0
304,12/02/2019,11:30,0.0007923180849687128,0,1
305,12/02/2019,11:00,0.0007062441908036732,0,1
307,12/02/2019,10:00,-0.0027997106590458287,1,0
332,11/27/2019,9:30,-3.497131557672617e-05,1,0
336,11/26/2019,15:00,-0.0005068076486622886,1,0
349,11/25/2019,16:00,1.595601246506817e-05,0,1
352,11/25/2019,14:30,6.710605155291205e-05,1,0
371,11/22/2019,12:30,0.000328152600335585,0,1
400,11/20/2019,13:00,-0.002598296915417464,1,0
402,11/20/2019,12:00,-0.00019587474996285437,1,0
414,11/19/2019,13:30,3.2040653170639644e-06,1,0
420,11/19/2019,10:30,-0.0019597755257674265,1,0
426,11/18/2019,15:00,-0.00061502192954066,0,1
427,11/18/2019,14:30,-6.084098250447312e-05,0,1
429,11/18/2019,13:30,0.0005445192670148202,1,0
436,11/18/2019,10:00,-0.0009215244013223156,1,0
439,11/15/2019,16:00,5.44806313484969e-05,1,0
449,11/15/2019,11:00,0.0015387114162024318,0,1
450,11/15/2019,10:30,0.0002379260575633424,1,0
451,11/15/2019,10:00,0.0015607831540247474,0,1
452,11/15/2019,9:30,-0.0009045506593725605,1,0
467,11/14/2019,9:30,0.0010832923442301023,0,1
480,11/13/2019,10:30,0.0012295229382726092,1,0
497,11/12/2019,9:30,0.002489389057830138,0,1
499,11/11/2019,16:00,1.9436471891509655e-05,0,1
502,11/11/2019,14:30,-5.8305449309514756e-05,1,0
503,11/11/2019,14:00,-0.000246141091906793,0,1
505,11/11/2019,13:00,0.00023002917584236116,0,1
524,11/08/2019,11:00,-0.00080775317639592,0,1
542,11/07/2019,9:30,0.0022003490604944886,1,0
545,11/06/2019,15:30,0.0004941434351835028,0,1
550,11/06/2019,13:00,0.001116738328853728,1,0
562,11/05/2019,14:30,-9.093832114537292e-05,1,0
566,11/05/2019,12:30,0.0015184649191812838,0,1
569,11/05/2019,11:00,0.0006504022967348533,1,0
582,11/04/2019,11:30,-0.0006396612935688495,1,0
588,11/01/2019,16:00,-1.3042358318671177e-05,1,0
614,10/31/2019,10:30,0.001131395348705766,0,1
619,10/30/2019,15:30,3.281539698818392e-05,1,0
620,10/30/2019,15:00,0.0016388250765881907,0,1
623,10/30/2019,13:30,-0.0014014310077570258,1,0
625,10/30/2019,12:30,-0.0005501954650473095,0,1
647,10/28/2019,16:00,3.948199621639503e-05,0,1
649,10/28/2019,15:00,0.0004997271330875463,0,1
662,10/25/2019,16:00,0.00011911182298263157,0,1
665,10/25/2019,14:30,0.00031435459125539467,1,0
669,10/25/2019,12:30,-0.0005621228551753177,0,1
688,10/24/2019,10:30,0.00043273184283521005,0,1
689,10/24/2019,10:00,-0.000469329649444461,0,1
696,10/23/2019,14:00,-0.0012681082527912224,1,0
697,10/23/2019,13:30,2.668009564921192e-05,0,1
699,10/23/2019,12:30,0.000173398069046371,1,0
701,10/23/2019,11:30,-0.0007164052094168483,1,0
702,10/23/2019,11:00,0.0007130814081293124,1,0
740,10/18/2019,14:30,-0.00017711743099013688,1,0
758,10/17/2019,13:00,-0.00015672909741226704,1,0
760,10/17/2019,12:00,7.344472453318929e-05,0,1
764,10/17/2019,10:00,-0.0005788192249749358,0,1
767,10/16/2019,16:00,-0.00017391595221027956,0,1
