,Date,Rounded_Time,Return,Positive,Negative
12,12/31/2019,10:30,-0.0009980552743673599,1,0
87,12/20/2019,15:00,-0.0006234694570110833,1,0
436,11/18/2019,10:00,-0.0009215244013223156,1,0
588,11/01/2019,16:00,-1.3042358318671177e-05,0,1
616,10/31/2019,9:30,-0.0028265318233255954,1,0
623,10/30/2019,13:30,-0.0014014310077570258,0,1
801,10/14/2019,14:00,0.00011447618739435228,1,0
807,10/14/2019,11:00,-0.001289390983564509,1,0
849,10/09/2019,12:30,0.000836060286155238,0,1
883,10/07/2019,10:00,0.0022734349349118332,1,0
950,09/30/2019,14:00,-0.0001744199701878557,0,1
993,09/25/2019,15:00,0.0006163885855077211,1,0
1123,09/13/2019,9:30,-0.00023241452230493564,0,1
1197,09/06/2019,10:00,0.0013762178341378828,0,1
1320,08/23/2019,16:00,-0.0003020150749550865,1,0
1412,08/15/2019,15:00,0.0009528783093806226,1,0
1419,08/15/2019,11:30,0.0017524179241794613,1,0
1420,08/15/2019,11:00,-0.0007975588798085909,1,0
1429,08/14/2019,14:00,-0.001972784630485336,1,0
1436,08/14/2019,10:30,-0.004550728558188943,1,0
1448,08/13/2019,12:00,0.00038203481756937663,1,0
1504,08/07/2019,14:00,0.0010822643695149736,1,0
1522,08/06/2019,12:30,0.00041683378568446727,1,0
1625,07/26/2019,13:00,9.922997547384682e-05,1,0
1628,07/26/2019,11:30,0.0009497541115699448,1,0
1631,07/26/2019,10:00,-0.0004506728688387085,0,1
1893,07/01/2019,11:00,-0.001484490721269438,0,1
1896,07/01/2019,9:30,-0.0006093240226832108,1,0
2099,06/11/2019,12:30,-0.0011837381468025043,1,0
2130,06/07/2019,12:00,0.0009664389218917435,1,0
2131,06/07/2019,11:30,-6.955868495150952e-05,1,0
2189,06/03/2019,12:30,0.0005588724802150224,0,1
2210,05/31/2019,9:30,-0.0034439149051417317,1,0
2261,05/24/2019,14:00,-0.0007317112294193961,1,0
2312,05/21/2019,11:00,-0.0007920985966203276,0,1
2403,05/13/2019,10:30,0.0003652838526635449,1,0
2411,05/10/2019,14:00,-0.000980123797281962,1,0
2438,05/08/2019,15:30,-0.00567903957899496,0,1
2490,05/03/2019,12:00,0.001165836041493229,1,0
2534,04/30/2019,12:30,3.744610739619958e-05,0,1
2555,04/29/2019,9:30,0.0007138899484937511,1,0
2562,04/26/2019,13:30,-4.0959965053488645e-05,0,1
2623,04/22/2019,13:00,-0.000137653354657985,1,0
2875,03/27/2019,14:30,-0.0007555023737166877,1,0
3203,02/25/2019,14:00,-7.136459815981766e-06,1,0
3617,01/14/2019,16:00,0.0001510214279036859,1,0
3819,12/24/2018,9:30,-0.008076483576370919,1,0
3883,12/17/2018,15:00,-0.00478482019943538,0,1
3907,12/14/2018,10:30,0.00015613307901318763,0,1
3941,12/11/2018,16:00,-5.309365342487382e-05,1,0
3974,12/07/2018,14:30,-0.005783104757477453,1,0
4082,11/27/2018,13:00,0.0010267787781801374,1,0
4237,11/09/2018,15:00,0.002534864717400609,1,0
4438,10/23/2018,11:30,-0.004421949941817438,1,0
4666,10/02/2018,10:00,-0.0006224669729180121,1,0
4722,09/26/2018,12:00,0.00014027092839530297,0,1
4955,09/04/2018,15:30,0.0004972255607311737,1,0
4999,08/29/2018,16:00,-3.4316030050440816e-05,1,0
5037,08/27/2018,12:00,-0.00015185976470188933,1,0
5051,08/24/2018,12:30,-0.0002469148695292134,0,1
5112,08/20/2018,12:00,0.0008191814945011089,0,1
5161,08/15/2018,10:00,-0.0030743525913790037,0,1
5217,08/09/2018,12:00,0.0005145392449685815,0,1
5236,08/08/2018,10:00,5.2534896316736024e-05,1,0
5267,08/06/2018,9:30,0.0003801705885280171,1,0
5532,07/11/2018,12:00,0.0007061282132223567,1,0
5544,07/10/2018,13:30,-0.00029394052576048324,1,0
5683,06/25/2018,16:00,3.6804419476510475e-06,0,1
5714,06/21/2018,15:30,-0.00036361521184868906,1,0
5715,06/21/2018,15:00,-0.0002980636787857094,1,0
5804,06/13/2018,15:30,-0.002615923352320415,1,0
5820,06/12/2018,15:00,0.0018082960034675466,0,1
5821,06/12/2018,14:30,-0.0006762395584454239,1,0
5866,06/07/2018,14:30,0.000632242585435705,1,0
5874,06/07/2018,10:30,-0.00010461439684039675,0,1
5938,05/31/2018,16:00,-0.00010349632782080675,1,0
6093,05/16/2018,13:30,0.0007304374323391372,0,1
6332,04/24/2018,14:00,-0.0019621782275835997,0,1
6386,04/19/2018,9:30,-0.001140901435791264,1,0
6452,04/12/2018,14:00,0.002927281709318663,1,0
6483,04/10/2018,13:30,0.0009414600857313715,1,0
6521,04/06/2018,9:30,0.002544175251895986,0,1
6525,04/05/2018,15:00,-0.0003598281859256147,1,0
6608,03/28/2018,11:00,-0.00048396948095952297,0,1
6663,03/22/2018,13:30,-0.00020476888180276376,1,0
6761,03/14/2018,9:30,-0.0015693294969896243,0,1
6791,03/12/2018,9:30,0.001085222281570708,1,0
6996,02/20/2018,11:30,0.0009763322498939075,1,0
7140,02/05/2018,14:30,-0.008721431904607613,1,0
7160,02/02/2018,12:00,0.0029154957291641637,1,0
7390,01/11/2018,9:30,0.0015752378817159851,1,0
