,Date,Rounded_Time,Return,Positive,Negative
121,01/24/2017,10:30,0.0007967289917694131,0,1
122,01/24/2017,11:00,-0.001424962584813727,1,0
123,01/24/2017,11:30,0.001408720273762043,0,1
153,02/06/2017,10:30,0.0032046362543614038,0,1
160,02/07/2017,10:00,-0.0002504751907910219,0,1
171,02/08/2017,11:30,0.00021956446771298488,0,1
172,02/08/2017,13:30,0.0021803050256803402,0,1
205,02/14/2017,14:00,0.0009720474825432035,0,1
209,02/15/2017,10:30,-0.0023409398662082026,1,0
212,02/15/2017,13:30,0.0014392388447923565,1,0
239,02/20/2017,15:00,0.0032584295019244536,1,0
246,02/21/2017,14:30,0.0014922000716701689,1,0
266,02/24/2017,11:00,-0.00056180297010755,0,1
274,02/27/2017,11:00,0.0012994893173523536,0,1
305,03/03/2017,10:30,0.0018031686456794205,0,1
307,03/03/2017,11:30,-0.0002299314876434977,1,0
310,03/03/2017,14:30,0.0021268730868087005,0,1
311,03/03/2017,15:00,-0.0003696909394825809,0,1
319,03/06/2017,15:00,0.0017517583958674976,0,1
338,03/09/2017,11:00,-0.0024503215267550615,0,1
360,03/14/2017,10:00,0.002814981749649448,1,0
362,03/14/2017,11:00,-0.0007616369703509207,1,0
377,03/16/2017,10:30,0.0004381563798112609,0,1
383,03/16/2017,15:00,0.0012060106084685884,0,1
385,03/17/2017,10:30,-0.0011774439818985627,0,1
416,03/23/2017,10:00,0.0023172271356664,1,0
418,03/23/2017,11:00,-0.0015229302150068236,0,1
440,03/28/2017,10:00,-0.0005544111820636743,0,1
468,03/31/2017,13:30,-0.001252554613358825,0,1
470,03/31/2017,14:30,-0.0008457028231916297,0,1
484,04/06/2017,13:30,0.0014649155410388914,0,1
511,04/11/2017,15:00,0.004537532259469401,0,1
525,04/13/2017,14:00,-6.409953133079682e-05,1,0
559,04/19/2017,15:00,0.0005836394977265513,0,1
566,04/20/2017,14:30,0.004647774119279191,1,0
575,04/21/2017,15:00,0.002960430887762655,1,0
577,04/24/2017,10:30,0.0027775844587409892,1,0
604,04/27/2017,13:30,0.004032134899357942,1,0
632,05/04/2017,10:00,-0.0014945078827199865,0,1
645,05/05/2017,14:00,-0.0003642758285238301,1,0
646,05/05/2017,14:30,-0.0009064502129518814,1,0
669,05/10/2017,14:00,-0.0026828106565268683,0,1
678,05/11/2017,14:30,0.0038687944001605246,1,0
694,05/15/2017,14:30,-0.0003979056627887445,1,0
698,05/16/2017,11:00,0.00025096433993709866,0,1
702,05/16/2017,14:30,0.006891687979639016,1,0
