,Date,Rounded_Time,Return,Positive,Negative
107,01/20/2017,11:30,-0.0005675050610562948,0,1
153,02/06/2017,10:30,0.0032046362543614038,0,1
171,02/08/2017,11:30,0.00021956446771298488,1,0
172,02/08/2017,13:30,0.0021803050256803402,1,0
205,02/14/2017,14:00,0.0009720474825432035,0,1
239,02/20/2017,15:00,0.0032584295019244536,0,1
319,03/06/2017,15:00,0.0017517583958674976,1,0
338,03/09/2017,11:00,-0.0024503215267550615,1,0
362,03/14/2017,11:00,-0.0007616369703509207,1,0
440,03/28/2017,10:00,-0.0005544111820636743,1,0
511,04/11/2017,15:00,0.004537532259469401,1,0
525,04/13/2017,14:00,-6.409953133079682e-05,1,0
566,04/20/2017,14:30,0.004647774119279191,1,0
604,04/27/2017,13:30,0.004032134899357942,1,0
645,05/05/2017,14:00,-0.0003642758285238301,0,1
678,05/11/2017,14:30,0.0038687944001605246,1,0
751,05/24/2017,15:00,0.003730743690399052,1,0
775,05/31/2017,15:00,-0.00037847564576232173,1,0
835,06/12/2017,11:30,-0.002388773903899022,0,1
862,06/15/2017,14:30,-0.001532821841371046,0,1
864,06/16/2017,10:00,0.0006618906331503638,1,0
879,06/19/2017,15:00,0.0027356051549602967,0,1
883,06/20/2017,11:30,0.0015331572039762875,1,0
884,06/20/2017,13:30,-0.001074899609932345,0,1
966,07/04/2017,14:30,0.0006976064839783191,1,0
978,07/06/2017,11:00,0.0008291951982766221,0,1
1015,07/12/2017,15:00,0.0019784753415592604,1,0
1066,07/21/2017,11:00,0.0002221187048512263,1,0
1069,07/21/2017,14:00,-0.0011218710531935017,1,0
1080,07/25/2017,10:00,-0.000757410186121632,0,1
1100,07/27/2017,13:30,0.0025302095674799574,0,1
1101,07/27/2017,14:00,0.0016537099060283111,1,0
1106,07/28/2017,11:00,0.0011488359675695392,0,1
1145,08/04/2017,10:30,0.0024354384928013673,1,0
1159,08/07/2017,15:00,6.098750977656664e-05,1,0
1200,08/15/2017,10:00,0.005705081146988533,1,0
1214,08/16/2017,14:30,-0.0005947309480074381,1,0
1224,08/18/2017,10:00,0.0014283237442782593,1,0
1253,08/23/2017,14:00,-7.908095765074563e-05,0,1
1262,08/24/2017,14:30,-0.003452012271440097,1,0
1266,08/25/2017,11:00,-0.00015760154724553388,0,1
1315,09/04/2017,11:30,0.000907947270881948,1,0
1344,09/08/2017,10:00,0.0012624182775677895,0,1
1367,09/12/2017,15:00,0.0013798578507948633,1,0
1416,09/21/2017,10:00,-0.0014335470246322757,1,0
1442,09/26/2017,11:00,-0.00047880395688437716,0,1
1471,09/29/2017,15:00,0.0008752866524961433,1,0
1494,10/11/2017,14:30,-0.0008352826205264563,1,0
1503,10/12/2017,15:00,0.0023239528283607314,1,0
1507,10/13/2017,11:30,0.0005722393296352379,1,0
1522,10/17/2017,11:00,0.001866494308110589,1,0
1531,10/18/2017,11:30,0.0007692376347154806,1,0
1533,10/18/2017,14:00,-0.0004558559810874385,0,1
1548,10/20/2017,13:30,0.0005276606967790087,0,1
1573,10/25/2017,14:00,0.0008257663137811733,0,1
1574,10/25/2017,14:30,0.0003242408371413319,0,1
1576,10/26/2017,10:00,0.0007532070498506016,1,0
1602,10/31/2017,11:00,-1.7745179226480445e-05,1,0
1605,10/31/2017,14:00,0.002806658641466342,1,0
1606,10/31/2017,14:30,0.0012028906200978184,0,1
1620,11/02/2017,13:30,0.0007638695990124234,0,1
1622,11/02/2017,14:30,-8.288879289075624e-05,1,0
1626,11/03/2017,11:00,-0.0011556241655892308,1,0
1639,11/06/2017,15:00,0.002097725181437582,1,0
1735,11/22/2017,15:00,0.004487587802078252,0,1
1789,12/01/2017,14:00,-0.0007133422501333087,1,0
1803,12/05/2017,11:30,0.001562403517585409,1,0
1808,12/06/2017,10:00,0.0006833848162735023,1,0
1815,12/06/2017,15:00,0.005845904431708959,1,0
1821,12/07/2017,14:00,0.002038867365024899,0,1
1858,12/14/2017,11:00,-0.0014639823535098628,1,0
1863,12/14/2017,15:00,-0.0007681319742953718,1,0
1876,12/18/2017,13:30,-0.0018894609923449934,0,1
1889,12/20/2017,10:30,-0.001560986593045044,1,0
1905,12/22/2017,10:30,0.00014537040708084703,0,1
1910,12/22/2017,14:30,-0.0007788858689590228,0,1
1936,12/28/2017,10:00,-0.0008927398225928584,0,1
2029,01/15/2018,14:00,-0.005875121290408458,0,1
2056,01/19/2018,10:00,0.0022263672946039037,1,0
2062,01/19/2018,14:30,-0.00048482484859491137,1,0
2085,01/24/2018,14:00,-0.002675986944941755,1,0
2090,01/25/2018,11:00,0.003904595183449544,0,1
2109,01/29/2018,14:00,-0.004189258789455863,0,1
2150,02/05/2018,14:30,0.00019808318697478455,1,0
2152,02/06/2018,10:00,-0.0009893687581108424,0,1
2160,02/07/2018,10:00,-0.003154933186426234,1,0
2173,02/08/2018,14:00,0.0035675901532261634,1,0
2206,02/14/2018,14:30,0.0005910951225374106,0,1
2208,02/22/2018,10:00,0.002526480791960495,1,0
2270,03/05/2018,14:30,-0.0006554804398373193,1,0
2302,03/09/2018,14:30,0.0002452795063110358,1,0
2312,03/13/2018,10:00,0.0014008930728266478,0,1
2338,03/16/2018,11:00,-0.0021815156374067612,1,0
2353,03/20/2018,10:30,-0.0027512267947713553,1,0
2364,03/21/2018,13:30,0.00047154270904492535,1,0
2365,03/21/2018,14:00,-0.0020177429006054126,1,0
2372,03/22/2018,13:30,0.0010901359143158373,1,0
2379,03/23/2018,11:30,-0.0031437217923659944,1,0
