,Date,Time,Rounded_Time,sentiment
47,03/28/2018,5:16,5:00,-1
49,04/05/2018,8:10,8:00,-1
50,04/06/2018,9:32,9:30,-1
51,04/07/2018,13:03,13:00,-1
52,04/08/2018,7:12,7:00,-1
77,05/23/2018,6:55,6:30,-1
80,06/04/2018,8:47,8:30,-1
83,07/25/2018,6:20,6:00,-1
88,08/18/2018,6:46,6:30,-1
89,08/20/2018,12:14,12:00,-1
90,08/24/2018,12:36,12:30,-1
93,08/28/2018,23:11,23:00,-1
99,09/13/2018,9:15,9:00,-1
102,09/26/2018,12:26,12:00,-1
103,10/25/2018,8:57,8:30,-1
122,12/05/2018,7:44,7:30,-1
127,12/14/2018,10:35,10:30,-1
130,12/29/2018,10:03,10:00,-1
132,01/03/2019,19:19,19:00,-1
135,01/21/2019,15:57,15:30,-1
141,02/24/2019,6:58,6:30,-1
146,02/25/2019,18:04,18:00,-1
147,02/27/2019,3:45,3:30,-1
152,04/30/2019,12:56,12:30,-1
159,05/08/2019,15:58,15:30,-1
160,05/10/2019,6:24,6:00,-1
165,05/10/2019,7:07,7:00,-1
167,05/10/2019,8:39,8:30,-1
174,05/13/2019,5:49,5:30,-1
188,05/20/2019,9:08,9:00,-1
194,06/18/2019,5:53,5:30,-1
207,07/26/2019,9:02,9:00,-1
208,07/26/2019,10:25,10:00,-1
209,07/29/2019,6:48,6:30,-1
211,07/30/2019,6:09,6:00,-1
212,07/30/2019,7:40,7:30,-1
218,08/03/2019,7:46,7:30,-1
219,08/05/2019,7:12,7:00,-1
222,08/06/2019,7:00,7:00,-1
239,08/21/2019,7:52,7:30,-1
252,08/28/2019,7:06,7:00,-1
254,08/31/2019,13:29,13:00,-1
264,09/06/2019,10:14,10:00,-1
269,09/16/2019,6:47,6:30,-1
270,09/22/2019,8:39,8:30,-1
272,09/26/2019,18:02,18:00,-1
275,09/30/2019,9:03,9:00,-1
277,10/05/2019,9:06,9:00,-1
278,10/06/2019,9:58,9:30,-1
284,10/11/2019,9:15,9:00,-1
285,10/11/2019,22:25,22:00,-1
294,11/12/2019,5:25,5:00,-1
300,12/08/2019,10:50,10:30,-1
302,12/13/2019,8:06,8:00,-1
304,12/14/2019,13:09,13:00,-1
311,09/09/2018,8:49,8:30,-1
315,07/16/2019,6:46,6:30,-1
318,09/05/2019,22:33,22:30,-1
352,01/18/2018,5:25,5:00,-1
358,03/04/2018,18:10,18:00,-1
366,03/14/2018,9:37,9:30,-1
371,03/28/2018,11:14,11:00,-1
372,04/12/2018,22:15,22:00,-1
378,05/25/2018,18:13,18:00,-1
379,05/29/2018,6:27,6:00,-1
384,06/04/2018,7:43,7:30,-1
386,06/07/2018,6:57,6:30,-1
390,06/07/2018,21:15,21:00,-1
392,06/08/2018,6:22,6:00,-1
399,06/10/2018,21:41,21:30,-1
400,06/11/2018,19:35,19:30,-1
401,06/22/2018,19:34,19:30,-1
402,06/23/2018,11:57,11:30,-1
404,06/25/2018,16:28,16:00,-1
408,07/03/2018,5:33,5:30,-1
411,07/10/2018,5:59,5:30,-1
416,07/14/2018,4:46,4:30,-1
419,07/20/2018,7:51,7:30,-1
435,08/15/2018,10:04,10:00,-1
441,09/01/2018,10:12,10:00,-1
443,09/01/2018,17:55,17:30,-1
444,09/03/2018,6:28,6:00,-1
454,10/18/2018,6:45,6:30,-1
463,11/19/2018,9:26,9:00,-1
467,12/17/2018,15:14,15:00,-1
476,01/05/2019,19:35,19:30,-1
479,01/11/2019,6:05,6:00,-1
490,05/25/2019,23:39,23:30,-1
492,06/03/2019,12:41,12:30,-1
494,06/08/2019,8:43,8:30,-1
499,07/11/2019,19:15,19:00,-1
501,07/27/2019,23:02,23:00,-1
512,09/02/2019,21:37,21:30,-1
513,09/13/2019,9:41,9:30,-1
514,10/03/2019,5:00,5:00,-1
519,12/07/2019,12:54,12:30,-1
535,06/02/2018,15:57,15:30,-1
542,08/05/2018,6:59,6:30,-1
550,04/05/2019,8:11,8:00,-1
551,04/07/2019,20:03,20:00,-1
552,04/23/2019,6:04,6:00,-1
553,05/02/2019,16:33,16:30,-1
565,06/04/2019,19:04,19:00,-1
567,06/05/2019,17:42,17:30,-1
570,06/09/2019,7:26,7:00,-1
576,07/09/2019,7:44,7:30,-1
580,08/30/2019,8:55,8:30,-1
581,08/30/2019,9:10,9:00,-1
587,09/30/2019,14:04,14:00,-1
588,11/14/2019,8:32,8:30,-1
752,01/24/2018,5:58,5:30,-1
755,02/05/2018,6:11,6:00,-1
757,02/11/2018,13:15,13:00,-1
776,04/17/2018,17:59,17:30,-1
777,04/20/2018,5:50,5:30,-1
778,04/24/2018,14:06,14:00,-1
780,05/16/2018,13:40,13:30,-1
782,05/21/2018,18:18,18:00,-1
792,06/07/2018,10:50,10:30,-1
795,06/12/2018,15:12,15:00,-1
803,06/24/2018,20:08,20:00,-1
804,06/26/2018,7:17,7:00,-1
808,07/23/2018,8:21,8:00,-1
816,08/07/2018,5:46,5:30,-1
817,08/09/2018,12:00,12:00,-1
823,08/21/2018,9:15,9:00,-1
824,08/22/2018,8:21,8:00,-1
828,09/19/2018,6:34,6:30,-1
845,11/06/2018,0:36,0:30,-1
850,12/03/2018,9:24,9:00,-1
854,12/08/2018,11:22,11:00,-1
861,02/25/2019,5:50,5:30,-1
865,04/16/2019,20:11,20:00,-1
866,04/26/2019,13:31,13:30,-1
867,04/29/2019,8:23,8:00,-1
874,05/16/2019,7:33,7:30,-1
876,05/21/2019,11:16,11:00,-1
879,07/01/2019,11:10,11:00,-1
881,07/07/2019,8:03,8:00,-1
882,07/11/2019,6:42,6:30,-1
890,08/31/2019,14:08,14:00,-1
891,09/09/2019,8:23,8:00,-1
894,10/07/2019,9:01,9:00,-1
897,10/09/2019,12:55,12:30,-1
902,10/17/2019,22:39,22:30,-1
906,10/30/2019,13:44,13:30,-1
907,10/31/2019,20:32,20:30,-1
910,11/01/2019,16:11,16:00,-1
911,11/02/2019,13:18,13:00,-1
44,02/18/2018,6:33,6:30,1
45,03/07/2018,9:10,9:00,1
48,04/04/2018,6:22,6:00,1
53,04/09/2018,5:03,5:00,1
54,04/10/2018,13:30,13:30,1
55,04/11/2018,5:38,5:30,1
57,04/27/2018,6:50,6:30,1
58,05/01/2018,6:00,6:00,1
59,05/02/2018,6:45,6:30,1
60,05/02/2018,17:40,17:30,1
61,05/02/2018,22:45,22:30,1
62,05/04/2018,19:31,19:30,1
63,05/08/2018,6:22,6:00,1
64,05/13/2018,10:01,10:00,1
65,05/13/2018,14:22,14:00,1
67,05/15/2018,7:35,7:30,1
72,05/21/2018,6:21,6:00,1
74,05/21/2018,6:31,6:30,1
76,05/21/2018,8:16,8:00,1
84,08/04/2018,14:47,14:30,1
85,08/04/2018,15:03,15:00,1
86,08/08/2018,10:25,10:00,1
87,08/14/2018,5:59,5:30,1
92,08/28/2018,20:16,20:00,1
94,08/29/2018,16:23,16:00,1
97,09/08/2018,10:45,10:30,1
98,09/09/2018,9:01,9:00,1
100,09/18/2018,7:50,7:30,1
104,11/01/2018,9:09,9:00,1
105,11/09/2018,15:10,15:00,1
108,11/27/2018,13:05,13:00,1
109,11/29/2018,6:32,6:30,1
111,12/03/2018,6:54,6:30,1
112,12/03/2018,7:01,7:00,1
114,12/04/2018,8:30,8:30,1
116,12/04/2018,9:10,9:00,1
117,12/04/2018,18:20,18:00,1
119,12/05/2018,6:46,6:30,1
121,12/05/2018,7:19,7:00,1
124,12/06/2018,18:56,18:30,1
128,12/17/2018,7:27,7:00,1
129,12/21/2018,8:41,8:30,1
131,01/03/2019,8:52,8:30,1
134,01/14/2019,16:19,16:00,1
136,01/31/2019,6:41,6:30,1
138,01/31/2019,8:56,8:30,1
140,02/17/2019,6:00,6:00,1
142,02/24/2019,7:05,7:00,1
145,02/25/2019,14:12,14:00,1
149,03/16/2019,16:07,16:00,1
150,03/18/2019,6:45,6:30,1
151,04/04/2019,7:01,7:00,1
153,05/03/2019,12:06,12:00,1
154,05/05/2019,11:08,11:00,1
166,05/10/2019,7:55,7:30,1
168,05/10/2019,14:14,14:00,1
170,05/11/2019,17:18,17:00,1
173,05/12/2019,18:22,18:00,1
175,05/13/2019,6:02,6:00,1
177,05/13/2019,10:55,10:30,1
179,05/14/2019,5:15,5:00,1
183,05/14/2019,6:16,6:00,1
187,05/14/2019,7:35,7:30,1
189,06/01/2019,15:37,15:30,1
190,06/03/2019,5:07,5:00,1
191,06/07/2019,11:36,11:30,1
193,06/12/2019,22:50,22:30,1
195,06/18/2019,8:39,8:30,1
196,06/24/2019,7:08,7:00,1
198,06/29/2019,17:32,17:30,1
200,07/03/2019,9:21,9:00,1
201,07/06/2019,7:45,7:30,1
205,07/15/2019,5:43,5:30,1
206,07/23/2019,6:54,6:30,1
210,07/29/2019,8:18,8:00,1
214,08/01/2019,9:24,9:00,1
224,08/06/2019,12:51,12:30,1
226,08/07/2019,14:01,14:00,1
227,08/10/2019,16:58,16:30,1
228,08/13/2019,7:49,7:30,1
229,08/13/2019,9:10,9:00,1
230,08/14/2019,14:21,14:00,1
231,08/14/2019,17:32,17:30,1
234,08/15/2019,11:52,11:30,1
236,08/15/2019,15:14,15:00,1
238,08/18/2019,14:24,14:00,1
244,08/23/2019,16:00,16:00,1
248,08/23/2019,22:58,22:30,1
250,08/25/2019,18:10,18:00,1
251,08/26/2019,4:30,4:30,1
255,09/01/2019,7:25,7:00,1
257,09/03/2019,8:12,8:00,1
260,09/04/2019,8:52,8:30,1
266,09/11/2019,5:14,5:00,1
271,09/25/2019,15:17,15:00,1
273,09/30/2019,6:48,6:30,1
274,09/30/2019,7:31,7:30,1
281,10/07/2019,10:20,10:00,1
283,10/11/2019,8:49,8:30,1
286,10/12/2019,9:09,9:00,1
288,10/13/2019,16:47,16:30,1
290,10/14/2019,14:10,14:00,1
291,10/14/2019,19:21,19:00,1
292,10/31/2019,8:24,8:00,1
293,10/31/2019,9:37,9:30,1
295,11/17/2019,10:08,10:00,1
296,11/18/2019,10:01,10:00,1
297,12/02/2019,5:11,5:00,1
299,12/08/2019,9:17,9:00,1
303,12/13/2019,9:25,9:00,1
306,12/17/2019,8:48,8:30,1
307,12/20/2019,9:24,9:00,1
308,12/31/2019,8:16,8:00,1
310,08/15/2018,21:31,21:30,1
312,03/27/2019,14:38,14:30,1
313,04/14/2019,20:42,20:30,1
316,08/13/2019,12:17,12:00,1
317,08/14/2019,10:51,10:30,1
319,10/14/2019,11:18,11:00,1
351,01/07/2018,8:33,8:30,1
353,03/01/2018,6:12,6:00,1
354,03/02/2018,4:50,4:30,1
355,03/02/2018,7:57,7:30,1
359,03/05/2018,5:47,5:30,1
360,03/07/2018,5:24,5:00,1
361,03/07/2018,5:40,5:30,1
362,03/08/2018,6:38,6:30,1
363,03/09/2018,16:48,16:30,1
364,03/10/2018,11:23,11:00,1
365,03/10/2018,15:29,15:00,1
367,03/15/2018,6:11,6:00,1
368,03/15/2018,8:29,8:00,1
369,03/22/2018,13:40,13:30,1
370,03/26/2018,19:44,19:30,1
374,04/19/2018,9:45,9:30,1
376,04/25/2018,9:11,9:00,1
377,05/25/2018,17:45,17:30,1
380,05/31/2018,16:19,16:00,1
381,06/01/2018,8:18,8:00,1
382,06/02/2018,12:51,12:30,1
383,06/02/2018,16:23,16:00,1
385,06/05/2018,20:23,20:00,1
388,06/07/2018,14:55,14:30,1
393,06/09/2018,15:56,15:30,1
395,06/10/2018,20:05,20:00,1
398,06/10/2018,20:42,20:30,1
403,06/24/2018,15:12,15:00,1
409,07/09/2018,7:04,7:00,1
410,07/10/2018,4:35,4:30,1
412,07/10/2018,13:52,13:30,1
413,07/11/2018,7:40,7:30,1
414,07/11/2018,12:07,12:00,1
415,07/12/2018,1:03,1:00,1
417,07/18/2018,6:33,6:30,1
418,07/19/2018,8:30,8:30,1
420,07/20/2018,8:04,8:00,1
422,07/24/2018,6:29,6:00,1
423,07/24/2018,19:08,19:00,1
426,07/25/2018,18:42,18:30,1
427,07/25/2018,20:01,20:00,1
428,07/29/2018,7:42,7:30,1
431,08/05/2018,7:06,7:00,1
432,08/06/2018,9:52,9:30,1
433,08/10/2018,17:47,17:30,1
434,08/10/2018,18:12,18:00,1
436,08/24/2018,4:57,4:30,1
437,08/25/2018,8:22,8:00,1
439,08/28/2018,9:21,9:00,1
440,08/28/2018,21:19,21:00,1
445,09/08/2018,9:44,9:30,1
446,09/23/2018,15:52,15:30,1
449,10/01/2018,5:30,5:30,1
451,10/02/2018,10:02,10:00,1
452,10/03/2018,8:04,8:00,1
453,10/03/2018,9:02,9:00,1
456,10/23/2018,11:43,11:30,1
457,10/29/2018,7:28,7:00,1
458,11/07/2018,5:21,5:00,1
462,11/13/2018,7:07,7:00,1
464,11/25/2018,7:16,7:00,1
465,11/25/2018,14:27,14:00,1
468,12/23/2018,10:59,10:30,1
470,12/24/2018,8:59,8:30,1
471,12/24/2018,9:55,9:30,1
472,12/25/2018,17:18,17:00,1
473,12/28/2018,6:42,6:30,1
474,12/31/2018,18:40,18:30,1
475,01/02/2019,7:35,7:30,1
477,01/08/2019,7:13,7:00,1
478,01/09/2019,8:06,8:00,1
480,01/20/2019,6:40,6:30,1
481,01/27/2019,19:09,19:00,1
483,04/09/2019,6:34,6:30,1
484,04/22/2019,13:06,13:00,1
485,04/27/2019,17:14,17:00,1
487,05/06/2019,8:51,8:30,1
488,05/24/2019,14:01,14:00,1
489,05/25/2019,1:57,1:30,1
491,05/31/2019,9:41,9:30,1
493,06/05/2019,3:02,3:00,1
495,06/11/2019,12:44,12:30,1
496,06/22/2019,11:55,11:30,1
498,07/09/2019,6:05,6:00,1
500,07/26/2019,13:29,13:00,1
504,08/11/2019,16:42,16:30,1
505,08/15/2019,11:24,11:00,1
506,08/19/2019,18:43,18:30,1
508,08/23/2019,17:04,17:00,1
516,11/10/2019,13:06,13:00,1
517,12/04/2019,3:22,3:00,1
518,12/06/2019,6:43,6:30,1
520,12/10/2019,8:32,8:30,1
521,12/10/2019,16:51,16:30,1
522,12/13/2019,0:08,0:00,1
525,12/18/2019,7:18,7:00,1
527,12/20/2019,15:09,15:00,1
528,12/24/2019,7:25,7:00,1
529,12/26/2019,18:03,18:00,1
530,12/27/2019,8:42,8:30,1
531,12/31/2019,10:51,10:30,1
533,03/12/2018,7:20,7:00,1
538,06/09/2018,18:03,18:00,1
543,08/10/2018,7:47,7:30,1
544,09/17/2018,5:11,5:00,1
545,11/28/2018,8:43,8:30,1
547,01/28/2019,7:16,7:00,1
556,05/11/2019,8:55,8:30,1
558,05/19/2019,21:29,21:00,1
559,05/30/2019,18:30,18:30,1
563,06/01/2019,17:20,17:00,1
564,06/02/2019,6:44,6:30,1
568,06/07/2019,12:16,12:00,1
569,06/07/2019,19:31,19:30,1
575,06/26/2019,22:47,22:30,1
579,07/23/2019,7:23,7:00,1
589,12/02/2019,4:59,4:30,1
740,01/02/2018,7:49,7:30,1
743,01/08/2018,16:59,16:30,1
744,01/10/2018,17:37,17:30,1
745,01/11/2018,9:37,9:30,1
746,01/11/2018,20:49,20:30,1
747,01/13/2018,7:13,7:00,1
748,01/14/2018,7:50,7:30,1
749,01/17/2018,17:28,17:00,1
750,01/19/2018,20:28,20:00,1
751,01/20/2018,16:31,16:30,1
753,02/01/2018,5:43,5:30,1
754,02/02/2018,12:05,12:00,1
756,02/05/2018,14:42,14:30,1
758,02/11/2018,14:26,14:00,1
760,02/19/2018,20:29,20:00,1
762,02/20/2018,7:11,7:00,1
763,02/20/2018,11:49,11:30,1
764,02/27/2018,16:58,16:30,1
765,03/12/2018,9:43,9:30,1
766,03/14/2018,18:49,18:30,1
767,03/29/2018,6:57,6:30,1
768,03/31/2018,7:52,7:30,1
770,04/03/2018,8:55,8:30,1
771,04/05/2018,15:12,15:00,1
773,04/12/2018,14:03,14:00,1
779,05/09/2018,6:24,6:00,1
781,05/18/2018,17:00,17:00,1
784,05/28/2018,16:22,16:00,1
785,05/28/2018,16:53,16:30,1
786,05/30/2018,18:46,18:30,1
787,06/04/2018,6:35,6:30,1
788,06/05/2018,8:02,8:00,1
790,06/05/2018,23:02,23:00,1
791,06/06/2018,9:04,9:00,1
794,06/12/2018,14:30,14:30,1
796,06/13/2018,4:55,4:30,1
797,06/13/2018,15:50,15:30,1
798,06/15/2018,6:45,6:30,1
799,06/16/2018,8:03,8:00,1
800,06/21/2018,15:25,15:00,1
801,06/21/2018,15:46,15:30,1
802,06/23/2018,9:00,9:00,1
806,07/13/2018,1:02,1:00,1
809,07/27/2018,6:56,6:30,1
811,07/31/2018,7:21,7:00,1
812,08/03/2018,17:10,17:00,1
813,08/04/2018,7:49,7:30,1
814,08/04/2018,8:02,8:00,1
818,08/15/2018,8:39,8:30,1
820,08/17/2018,6:44,6:30,1
822,08/20/2018,22:53,22:30,1
